antecedents_str,consequents_str,support,confidence,lift,kulczynski,cosine,all_confidence
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.02056818867241691,0.55718954248366,24.119178654925847,0.7237644840355637,0.7043350177282438,0.55718954248366
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.02056818867241691,0.8903394255874673,24.119178654925847,0.7237644840355637,0.7043350177282438,0.55718954248366
PINK REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.02056818867241691,0.6916835699797159,24.091222493054012,0.7040350623007823,0.7039267075387245,0.6916835699797159
"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.02056818867241691,0.7163865546218486,24.091222493054012,0.7040350623007823,0.7039267075387245,0.6916835699797159
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.024368176608963146,0.6601307189542484,22.199406063980696,0.7398016677935542,0.7354991825836171,0.6601307189542484
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.024368176608963146,0.81947261663286,22.199406063980692,0.7398016677935542,0.7354991825836171,0.6601307189542484
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.02056818867241691,0.5029498525073746,20.63961783346476,0.6735046292239844,0.6515516508499414,0.5029498525073746
"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.02056818867241691,0.844059405940594,20.63961783346476,0.6735046292239844,0.6515516508499414,0.5029498525073746
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.028711019965015985,0.7777777777777778,19.018846279908228,0.73992133726647,0.7389522821224758,0.7020648967551623
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.028711019965015985,0.7020648967551623,19.018846279908225,0.73992133726647,0.7389522821224758,0.7020648967551623
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.023101513963447735,0.7768762677484787,18.996801833336328,0.6708865114553604,0.6624612311778469,0.5648967551622419
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.023101513963447735,0.5648967551622419,18.996801833336324,0.6708865114553604,0.6624612311778469,0.5648967551622419
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.027625309126002775,0.6172506738544474,16.321210401647342,0.6738565968953258,0.6714748563096311,0.6172506738544474
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.027625309126002775,0.7304625199362041,16.321210401647342,0.6738565968953258,0.6714748563096311,0.6172506738544474
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.027384040050666504,0.5989445910290238,14.391162861840847,0.6284578027608887,0.6277644304867186,0.5989445910290238
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.027384040050666504,0.6579710144927535,14.391162861840847,0.6284578027608887,0.6277644304867186,0.5989445910290238
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.027625309126002775,0.5841836734693877,11.340961501696697,0.5602417196386751,0.559729905642416,0.5362997658079625
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.027625309126002775,0.5362997658079625,11.340961501696695,0.5602417196386751,0.559729905642416,0.5362997658079625
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.026358646480487365,0.4624338624338625,11.324506654787305,0.553964346283401,0.5463503157127898,0.4624338624338625
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.026358646480487365,0.6454948301329394,11.324506654787305,0.553964346283401,0.5463503157127898,0.4624338624338625
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.02086977501658725,0.39633447880870565,9.749004932002272,0.4548437972678543,0.4510648950721912,0.39633447880870565
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.02086977501658725,0.5133531157270029,9.74900493200227,0.4548437972678543,0.4510648950721912,0.39633447880870565
